model,precision,set,kind,arm,k,k_is_main,norm,a,b,delta,ci_low,ci_high,se,p_boot,n,n_better,n_worse,n_tied,n_clusters,cl_ci_low,cl_ci_high,p_wilcoxon
drax,,common_voice,main,main,16,True,legacy,conf,rover_freq,1.9083023543990087,1.2292486826859197,2.641330183919316,0.35474727034069825,0.0,455,82,32,341,455,,,2.5364871731449794e-07
drax,,common_voice,main,main,16,True,whisper,conf,rover_freq,1.8410852713178294,1.1423815623132154,2.5500904063892844,0.3511372527376724,0.0,455,92,36,327,455,,,6.671313832600356e-07
drax,,common_voice,main,main,16,True,legacy,first,rover_cg,7.856257744733581,6.441501726245083,9.581507273022343,0.7893020742567668,0.0,455,173,22,260,455,,,4.658662761851484e-27
drax,,common_voice,main,main,16,True,whisper,first,rover_cg,7.751937984496124,6.3516282852840105,9.371299417809162,0.7691581762545551,0.0,455,180,24,251,455,,,4.868769621072265e-27
drax,,common_voice,main,main,16,True,legacy,conf,mbr,1.5365551425030979,0.8751829947778207,2.187603529561671,0.33500872911594687,0.0,455,72,29,354,455,,,6.0443815586348236e-06
drax,,common_voice,main,main,16,True,whisper,conf,mbr,0.9932170542635659,0.3177733557323979,1.6199253011739303,0.3290512822734275,0.004,455,73,41,341,455,,,0.0024175471572351697
drax,,common_voice,main,main,16,True,legacy,first,conf,6.047087980173482,4.63666067505026,7.711604116571169,0.7838450861407108,0.0,455,156,36,263,455,,,9.116161480674638e-17
drax,,common_voice,main,main,16,True,whisper,first,conf,5.935077519379845,4.608584090958385,7.538774470064502,0.7642227929871116,0.0,455,160,42,253,455,,,2.6473430654055885e-16
drax,,common_voice,main,main,16,True,legacy,rover_freq,rover_cg,-0.09913258983890955,-0.5167833439668855,0.2934093091532583,0.20216314942672609,0.7195,455,21,25,409,455,,,0.6251113083603599
drax,,common_voice,main,main,16,True,whisper,rover_freq,rover_cg,-0.02422480620155039,-0.3507212139569121,0.3016863475711662,0.1657767080604604,0.604,455,19,22,414,455,,,0.8900222805863531
drax,,common_voice,main,ref,4,True,legacy,conf,rover_cg,0.1734820322180917,-0.2912656723737133,0.6426737677993395,0.24141688377983456,0.263,455,25,23,407,455,,,0.46359099524106206
drax,,common_voice,main,ref,4,True,whisper,conf,rover_cg,0.12112403100775193,-0.3925795907644087,0.6543547693895181,0.26646052664084935,0.337,455,29,30,396,455,,,0.7378184176141426
drax,,common_voice,main,ref,4,True,legacy,mbr,rover_cg,-0.1734820322180917,-0.5238344810319103,0.17623294425987493,0.18247886185888307,0.839,455,17,20,418,455,,,0.3204359413217488
drax,,common_voice,main,ref,4,True,whisper,mbr,rover_cg,-0.09689922480620156,-0.4225900219051689,0.24126034951902026,0.17401479552142046,0.7255,455,17,18,420,455,,,0.5454886637396192
drax,,common_voice,main,ref,4,True,legacy,cm05,rover_cg,-0.22304832713754646,-0.6329194080002052,0.14863167069372568,0.20160381859641308,0.878,455,14,20,421,455,,,0.22891394312014268
drax,,common_voice,main,ref,4,True,whisper,cm05,rover_cg,-0.2180232558139535,-0.6533061983287395,0.1975615366919713,0.21888292440307772,0.862,455,21,26,408,455,,,0.23827927753328892
drax,,common_voice,main,ref,4,True,legacy,conf,rover_c,0.3965303593556382,-0.050358517719151695,0.8579359071410547,0.23254168977636638,0.0515,455,28,18,409,455,,,0.07754675397905932
drax,,common_voice,main,ref,4,True,whisper,conf,rover_c,0.26647286821705424,-0.24027111835125245,0.773573035257211,0.25741350033988925,0.1675,455,29,24,402,455,,,0.36493470028971053
drax,,common_voice,main,ref,4,True,legacy,conf,rover_freq,0.3965303593556382,-0.025767640171288676,0.8615520660283872,0.2272545398961795,0.0425,455,29,20,406,455,,,0.09675604716023047
drax,,common_voice,main,ref,4,True,whisper,conf,rover_freq,0.4118217054263566,-0.07301357961421569,0.9004678795424487,0.24472432724754023,0.048,455,30,21,404,455,,,0.11920760478892634
drax,,common_voice,main,ref,4,True,legacy,first,rover_cg,0.8921933085501859,0.3607738828092387,1.4532583703667072,0.27951733831847336,0.0005,455,56,22,377,455,,,0.0014012314463159677
drax,,common_voice,main,ref,4,True,whisper,first,rover_cg,0.5087209302325582,0.04730324299782162,1.006480985813449,0.24636135796348435,0.0195,455,44,24,387,455,,,0.04248300626164359
drax,,common_voice,main,ref,4,True,legacy,conf,mbr,0.3469640644361834,-0.14578924909084806,0.8440755843483392,0.25374583044252325,0.086,455,30,25,400,455,,,0.1741443347301459
drax,,common_voice,main,ref,4,True,whisper,conf,mbr,0.2180232558139535,-0.33875341853081997,0.8044128107796092,0.29392750247821553,0.249,455,32,31,392,455,,,0.48284079413474834
drax,,common_voice,main,ref,4,True,legacy,first,conf,0.7187112763320942,0.16879062384181243,1.2486416412961934,0.27641342482650405,0.0055,455,48,24,383,455,,,0.009067505810176018
drax,,common_voice,main,ref,4,True,whisper,first,conf,0.3875968992248062,-0.17120886767459392,0.9380756654692818,0.2774961199577734,0.0845,455,44,27,384,455,,,0.15384318763402532
drax,,common_voice,main,ref,4,True,legacy,rover_freq,rover_cg,-0.22304832713754646,-0.5608169410106703,0.09728576422665365,0.16735983325837686,0.9305,455,13,18,424,455,,,0.19911787569437578
drax,,common_voice,main,ref,4,True,whisper,rover_freq,rover_cg,-0.29069767441860467,-0.5289924165979488,-0.07274402631369851,0.11651570405285605,0.999,455,4,14,437,455,,,0.01431505160002235
drax,,earnings22,lowT,lowT,16,True,legacy,conf,rover_cg,0.5519779208831647,-0.13278581804581624,1.2699759333860159,0.36024495564006437,0.063,200,44,32,124,6,-0.030303030303030304,1.194147905155408,0.1431072211707279
drax,,earnings22,lowT,lowT,16,True,whisper,conf,rover_cg,0.4665629860031104,-0.16497571000576522,1.102626730149168,0.3239089666795782,0.0835,200,43,30,127,6,-0.40381791483113066,1.3738019169329074,0.157313863507067
