model,precision,arm,norm,a,b,n_sig_positive,n_sig_negative,k_sets,pooled,ci_low,ci_high,tau2,I2,n_positive
whisper-small,,sample,legacy,cm05,rover_cg,0,0,7,-0.05716086416306969,-0.18570152011927027,0.07137979179313088,0.0,0.0,0
whisper-small,,sample,legacy,conf,mbr,0,1,7,-0.4437417178064009,-1.6739552990754383,0.7864718634626364,1.2072790256070833,0.5516814960187555,4
whisper-small,,sample,legacy,conf,rover_c,0,1,7,-0.011147185741559498,-1.1403604224535935,1.1180660509704745,0.9006797276232518,0.4716456935570323,5
whisper-small,,sample,legacy,conf,rover_cg,0,1,7,-0.16810314121467673,-1.2709133062517999,0.9347070238224464,0.813089741490546,0.4391925157720736,5
whisper-small,,sample,legacy,conf,rover_freq,1,1,7,-0.2697655637080937,-1.383107448016768,0.8435763206005807,0.905936506140108,0.4952285247782984,4
whisper-small,,sample,legacy,first,conf,3,0,7,1.324432571526151,-0.02476834457193333,2.673633487624235,1.6475057564066364,0.6742493397836087,4
whisper-small,,sample,legacy,first,rover_cg,2,0,7,0.9932922991679374,0.3792023834496282,1.6073822148862464,0.3144407924320395,0.550897997665986,7
whisper-small,,sample,legacy,mbr,rover_cg,2,0,7,0.18927774519633564,-0.032203723089975406,0.41075921348264666,0.04581219536353464,0.6075495850949111,5
whisper-small,,sample,legacy,rover_freq,rover_cg,0,1,7,-0.010700738267444467,-0.19574004649424603,0.1743385699593571,0.028780871604700997,0.546584357611934,5
whisper-small,,sample,whisper,cm05,rover_cg,0,3,7,-0.23365574530125607,-0.4995546499670187,0.032243159364506585,0.057330763517604744,0.5628597969983469,1
whisper-small,,sample,whisper,conf,mbr,0,1,7,-0.5949135254162017,-1.8696010496575404,0.679773998825137,1.2894824963154787,0.5535251512123441,3
whisper-small,,sample,whisper,conf,rover_c,1,1,7,-0.4195500135313172,-1.628288880479331,0.7891888534166964,1.1544235726975975,0.5535874747203041,4
whisper-small,,sample,whisper,conf,rover_cg,1,1,7,-0.520801406472212,-1.7462544504859774,0.7046516375415535,1.1910204455504696,0.554219309736864,3
whisper-small,,sample,whisper,conf,rover_freq,0,1,7,-0.3266098535864695,-1.5404549730789252,0.8872352659059863,1.1596177195283484,0.548531740071785,4
whisper-small,,sample,whisper,first,conf,3,0,7,1.3929780209793883,0.03787529512961885,2.7480807468291575,1.6289938296682462,0.66582058428961,4
whisper-small,,sample,whisper,first,rover_cg,3,0,7,0.8723319874371047,0.30331496475462016,1.4413490101195894,0.24376284523751046,0.49773122679166054,6
whisper-small,,sample,whisper,mbr,rover_cg,1,0,7,0.09959811268113437,-0.074043867171127,0.27324009253339576,0.018205083228701336,0.36733351524603003,4
whisper-small,,sample,whisper,rover_freq,rover_cg,0,1,7,-0.16450211363440745,-0.29922177150817686,-0.029782455760638066,0.014279598434079646,0.5046845335533341,1
whisper-turbo,,beam,legacy,cm05,rover_cg,0,2,7,-0.1626394646193654,-0.3809153046034448,0.05563637536471397,0.05629054538912828,0.7355511516928476,2
whisper-turbo,,beam,legacy,conf,mbr,0,0,7,0.008066393505984475,-0.11856115988203961,0.13469394689400857,0.0,0.0,4
whisper-turbo,,beam,legacy,conf,rover_c,0,0,7,0.009904198333371458,-0.10652828742333598,0.1263366840900789,0.0,0.0,3
whisper-turbo,,beam,legacy,conf,rover_cg,0,0,7,-0.008805205804079811,-0.13636452039324204,0.11875410878508241,0.0015989192484852032,0.049662398203479,4
whisper-turbo,,beam,legacy,conf,rover_freq,0,1,7,-0.02634597253291469,-0.18638380027529142,0.13369185520946206,0.013742142211041806,0.3265717458861754,4
whisper-turbo,,beam,legacy,first,conf,0,1,7,0.00714411783338317,-0.11644368318981407,0.13073191885658042,0.008860307951728886,0.3397436182538004,4
whisper-turbo,,beam,legacy,first,rover_cg,0,1,7,0.00039033948340253834,-0.1637247805857106,0.16450545955251566,0.01610991726255703,0.3650561478129986,4
whisper-turbo,,beam,legacy,mbr,rover_cg,0,2,7,-0.13220298142108372,-0.36872655321336106,0.10432059037119362,0.07102424795343758,0.7730398827461444,3
whisper-turbo,,beam,legacy,rover_freq,rover_cg,1,1,7,-0.07406621755543552,-0.28430942330624376,0.1361769881953727,0.056738355405299506,0.7768931923666847,3
whisper-turbo,,beam,whisper,cm05,rover_cg,0,4,7,-0.5526212635511715,-0.8596536204388819,-0.245588906663461,0.129109171952831,0.848631536529297,0
whisper-turbo,,beam,whisper,conf,mbr,1,1,7,0.0027291338710174564,-0.24160908632782488,0.24706735406985977,0.06005543268698903,0.6941316323762836,5
whisper-turbo,,beam,whisper,conf,rover_c,0,2,7,-0.282989650029665,-0.6204897697158198,0.05451046965648987,0.13618574042336012,0.8180878083556155,2
whisper-turbo,,beam,whisper,conf,rover_cg,0,3,7,-0.416850966147378,-0.7938060628321024,-0.03989586946265361,0.17448928646229997,0.8306539585502488,2
whisper-turbo,,beam,whisper,conf,rover_freq,0,2,7,-0.08880603917009237,-0.3360992253895131,0.15848714704932831,0.06190630553435137,0.6866968546830993,4
whisper-turbo,,beam,whisper,first,conf,1,2,7,0.012991370036433053,-0.1521697518416799,0.17815249191454602,0.027074853422944127,0.6443223665205872,4
whisper-turbo,,beam,whisper,first,rover_cg,0,4,7,-0.350336626521642,-0.5944936786306761,-0.10617957441260784,0.05890549110330311,0.7084335499222917,2
whisper-turbo,,beam,whisper,mbr,rover_cg,0,4,7,-0.4839119738139065,-0.743635617277509,-0.22418833035030394,0.08783971556038636,0.8008478363367378,0
