model,set,label,a,b,wer_a,wer_b,delta,ci_low,ci_high,se,p_boot,n,n_better,n_worse,n_tied,n_clusters,cl_ci_low,cl_ci_high,p_wilcoxon
drax,voxpopuli,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,7.745954993490794,7.652966338106751,0.09298865538404315,-0.17839786393239143,0.34819023975488284,0.13216494810832935,0.2625,600,65,62,473,296,-0.15431358022586394,0.38095547913374844,0.5219759882999453
drax,ami,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,11.475713756025213,14.10826844642195,-2.632554690396737,-3.393050326034262,-1.9110940093181175,0.38165660747068764,1.0,600,51,146,403,16,-3.709946929524919,-1.4562830854271802,2.6361658301169062e-11
drax,common_voice,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,13.531598513011152,14.894671623296158,-1.3630731102850062,-2.212702378786744,-0.5328763217533748,0.42416340461652813,0.9995,455,52,83,320,455,,,0.0025531057487611407
drax,earnings22,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,20.965008473731434,25.28162695643505,-4.3166184827036185,-6.159235871478338,-2.77436167297793,0.8703681947838803,1.0,600,122,206,272,6,-5.380456283792694,-3.5515665279794852,1.5801072357766574e-08
drax,fleurs-de,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,9.244951712028096,9.736611062335381,-0.4916593503072871,-0.9644305564224953,-0.01746465340162047,0.24040013701902907,0.979,546,116,134,296,300,-0.9856268616114666,-0.034482265746047,0.05281673197367504
drax,fleurs-en,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,9.953143893591294,11.358827085852479,-1.405683192261185,-1.8554737838273196,-0.9644053589408673,0.22807764790974772,1.0,600,88,184,328,345,-1.932887087508962,-0.9226370670972934,2.6390181311992754e-09
drax,fleurs-es,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,6.689419795221843,6.923451974646514,-0.2340321794246709,-0.5567086001166337,0.07788294768084998,0.16331661632885736,0.924,400,73,82,245,269,-0.5497862014316518,0.07997203091966443,0.15606529589247106
drax,fleurs-fr,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,11.937462209553425,12.723503498315626,-0.7860412887622009,-1.257711491187903,-0.3183948989606565,0.23803446039420464,0.9995,468,99,138,231,278,-1.2236338466138845,-0.3461069060406992,0.0007740762350511727
drax,fleurs-it,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,6.956704497688104,7.093316519546028,-0.1366120218579235,-0.5592806405149955,0.2935418312221987,0.21749833252540354,0.746,400,77,81,242,262,-0.574322033550724,0.28518640273317486,0.5441319895096517
drax,fleurs-pt,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,13.682306628364719,14.746249601021384,-1.0639429726566656,-1.5822911358390193,-0.5218532964742459,0.27261825658524635,1.0,400,91,131,178,261,-1.6074983034348216,-0.5227447982015895,0.00018805496408549273
drax,gigaspeech,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,14.5041541453067,15.520593954392787,-1.016439809086088,-1.5548994063010961,-0.45264061266616773,0.27702584587675866,0.9995,600,97,155,348,117,-1.5359313346926262,-0.5285087702908965,0.00022159628245522182
drax,ls-dev-clean,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,3.1096996162498347,3.2023289665211063,-0.09262935027127167,-0.40012463022799494,0.1905599277201191,0.15147024939799913,0.736,400,39,40,321,40,-0.3625624753462056,0.16800261057050214,0.6060239085977837
