model,precision,set,kind,arm,k,k_is_main,norm,a,b,delta,ci_low,ci_high,se,p_boot,n,n_better,n_worse,n_tied,n_clusters,cl_ci_low,cl_ci_high,p_wilcoxon
whisper-small,,ls-test-other,main,greedy,1,True,legacy,conf,mbr,0.0,0.0,0.0,0.0,1.0,400,0,0,400,33,0.0,0.0,1.0
whisper-small,,ls-test-other,main,greedy,1,True,whisper,conf,mbr,0.0,0.0,0.0,0.0,1.0,400,0,0,400,33,0.0,0.0,1.0
whisper-small,,ls-test-other,main,greedy,1,True,legacy,first,conf,0.0,0.0,0.0,0.0,1.0,400,0,0,400,33,0.0,0.0,1.0
whisper-small,,ls-test-other,main,greedy,1,True,whisper,first,conf,0.0,0.0,0.0,0.0,1.0,400,0,0,400,33,0.0,0.0,1.0
whisper-small,,ls-test-other,main,greedy,1,True,legacy,rover_freq,rover_cg,0.0,0.0,0.0,0.0,1.0,400,0,0,400,33,0.0,0.0,1.0
whisper-small,,ls-test-other,main,greedy,1,True,whisper,rover_freq,rover_cg,0.0,0.0,0.0,0.0,1.0,400,0,0,400,33,0.0,0.0,1.0
whisper-small,,ls-test-other,main,sample,16,True,legacy,conf,rover_cg,0.11328235627301048,-0.7571598984003813,0.9102838303367646,0.42783313591895633,0.3825,400,38,43,319,33,-1.025991134386966,1.0388244627875962,0.2906676905272493
whisper-small,,ls-test-other,main,sample,16,True,whisper,conf,rover_cg,-2.1711724331138815,-3.1644184974277074,-1.2525851422491063,0.48928483373179804,1.0,400,42,109,249,33,-3.4432432962207935,-1.0776328375944837,2.679228807771974e-08
whisper-small,,ls-test-other,main,sample,16,True,legacy,mbr,rover_cg,-0.11328235627301048,-0.3512486389456444,0.12656625841247743,0.1200928173508917,0.843,400,23,34,343,33,-0.357404748300756,0.12510691368587676,0.3646736001757417
whisper-small,,ls-test-other,main,sample,16,True,whisper,mbr,rover_cg,-2.14315730494467,-2.765143672882311,-1.5970524773893093,0.2948384436050104,1.0,400,32,98,270,33,-3.0051260236898303,-1.3470992091940732,2.3073264209858516e-12
whisper-small,,ls-test-other,main,sample,16,True,legacy,cm05,rover_cg,-0.07080147267063155,-0.39556174556159474,0.2462468241632826,0.17019748863090411,0.664,400,28,43,329,33,-0.45872333758173217,0.35452764047872193,0.7275734529825193
whisper-small,,ls-test-other,main,sample,16,True,whisper,cm05,rover_cg,-2.1991875612830927,-2.838462582374199,-1.5785689374564056,0.3258411050916154,1.0,400,33,107,260,33,-3.151037307041882,-1.2711418698260815,5.869783938764004e-11
whisper-small,,ls-test-other,main,sample,16,True,legacy,conf,rover_c,0.35400736335315774,-0.5017399608782764,1.1210000824434492,0.4189573433440665,0.191,400,40,29,331,33,-0.7630012311278295,1.2503554861829846,0.022912505199415806
whisper-small,,ls-test-other,main,sample,16,True,whisper,conf,rover_c,-1.9190362795909792,-2.8861863054328105,-0.9882025026289509,0.48721770394897895,1.0,400,42,97,261,33,-3.175247710131398,-0.8122973881608221,4.0998204684499137e-07
whisper-small,,ls-test-other,main,sample,16,True,legacy,conf,rover_freq,0.2973661852166525,-0.5418757605683453,1.0332677062338587,0.40903875834918085,0.2215,400,40,29,331,33,-0.711188450982331,1.118826854714201,0.06346280860620145
whisper-small,,ls-test-other,main,sample,16,True,whisper,conf,rover_freq,-2.059111920437036,-3.017323695563579,-1.1330156159320375,0.48296382089743445,1.0,400,40,99,261,33,-3.254144592485933,-0.9937713008947238,3.2551116493809854e-08
whisper-small,,ls-test-other,main,sample,16,True,legacy,first,rover_cg,0.9487397337864628,-0.00034350096180267353,1.7016179979498423,0.44343678940176784,0.027,400,91,42,267,33,-0.10307730656548927,1.8736701993889295,2.25044492127006e-06
whisper-small,,ls-test-other,main,sample,16,True,whisper,first,rover_cg,-1.2326656394453004,-2.295324827077585,-0.3490237444417856,0.49552354691752293,0.9985,400,79,109,212,33,-2.5434166631519215,-0.029674262828317453,0.003940660914101169
whisper-small,,ls-test-other,main,sample,16,True,legacy,conf,mbr,0.22656471254602095,-0.6189648124502645,0.9897037296662053,0.42109299764327046,0.2855,400,36,28,336,33,-0.8092616647079441,1.0968002996526751,0.15364207725411072
whisper-small,,ls-test-other,main,sample,16,True,whisper,conf,mbr,-0.028015128169211374,-0.8691470329954829,0.7509207860979453,0.4170912223875893,0.503,400,35,34,331,33,-1.0412945401192182,0.761609811323989,0.623568829204884
whisper-small,,ls-test-other,main,sample,16,True,legacy,first,conf,0.8354573775134523,0.17806485203632935,1.449678852907031,0.3237479616873246,0.0085,400,84,38,278,33,0.105106685136252,1.4827227892093935,0.0011815332418790762
whisper-small,,ls-test-other,main,sample,16,True,whisper,first,conf,0.938506793668581,0.28619552573821055,1.5279189849859425,0.3112186010976566,0.005,400,85,37,278,33,0.26575500507249267,1.5845865702030077,0.00045410234272479945
whisper-small,,ls-test-other,main,sample,16,True,legacy,rover_freq,rover_cg,-0.18408382894364203,-0.4099328260567653,0.06066309639893469,0.12095979338531104,0.9325,400,19,35,346,33,-0.40099283609474756,0.043202602174464116,0.128945544052013
whisper-small,,ls-test-other,main,sample,16,True,whisper,rover_freq,rover_cg,-0.1120605126768455,-0.33463935891562424,0.1260251199480247,0.11561943491657728,0.825,400,21,31,348,33,-0.3363307532071861,0.1335647747367259,0.32850447672312044
whisper-turbo,,ami,main,beam,8,True,legacy,conf,rover_cg,1.5376315079579175,-1.7673129197633208,7.362692541620108,2.7029096341121615,0.3605,400,39,77,284,16,-1.4432522422170642,6.276922979692438,0.012436179514811109
whisper-turbo,,ami,main,beam,8,True,whisper,conf,rover_cg,-6.8380598992843895,-10.48267924355409,-0.9127444852289257,2.706709042486643,0.984,400,24,188,188,16,-9.833991935140837,-2.6180886129375898,2.409187623666625e-27
whisper-turbo,,ami,main,beam,8,True,legacy,mbr,rover_cg,-1.1869436201780414,-1.7495728418664735,-0.6719736044655132,0.27093702835366235,1.0,400,19,65,316,16,-1.8913830799716849,-0.6317984140158192,7.848667905162182e-06
