model,precision,arm,norm,a,b,n_sig_positive,n_sig_negative,k_sets,pooled,ci_low,ci_high,tau2,I2,n_positive
parakeet-ctc,,sample,whisper,rover_freq,rover_cg,0,1,7,0.002538865124290459,-0.10886591017266076,0.11394364042124167,0.00609773691222157,0.301143725586704,3
whisfusion,,main,legacy,cm05,rover_cg,14,0,14,3.0156859202552293,2.351042820672691,3.6803290198377674,1.5112648288347954,0.9534626246664036,14
whisfusion,,main,legacy,conf,mbr,14,0,14,1.6349968215187098,1.318446397335617,1.9515472457018026,0.25391154630876056,0.7379609894753602,14
whisfusion,,main,legacy,conf,rover_c,14,0,14,4.38368561240874,3.546020650530885,5.221350574286595,2.3986321829575443,0.9500475254120537,14
whisfusion,,main,legacy,conf,rover_cg,14,0,14,4.42852965257425,3.596032034460988,5.261027270687512,2.3680395764086715,0.9496655420100714,14
whisfusion,,main,legacy,conf,rover_freq,14,0,14,3.7023935589423718,2.9779089563950474,4.426878161489697,1.7573724201989447,0.9348618251020311,14
whisfusion,,main,legacy,first,conf,14,0,14,7.44487654295689,6.7638559931731805,8.1258970927406,1.3563859961127556,0.8228361157577575,14
whisfusion,,main,legacy,first,rover_cg,14,0,14,11.980007077501291,10.627437716999095,13.332576438003487,6.319013913725974,0.9546801575611117,14
whisfusion,,main,legacy,mbr,rover_cg,14,0,14,2.771902461693344,2.174667515457888,3.3691374079288,1.2271394716718478,0.9550159165121175,14
whisfusion,,main,legacy,rover_freq,rover_cg,13,0,14,0.6426742516907994,0.4748323581529186,0.8105161452286802,0.07603090945367033,0.8032060232091187,14
whisfusion,,main,whisper,cm05,rover_cg,9,2,14,1.4017576516105519,0.3746712657482649,2.428844037472839,3.670748592708115,0.9641515291814523,11
whisfusion,,main,whisper,conf,mbr,12,0,14,1.5158341979724987,1.1823387173371096,1.8493296786078879,0.28690913151790004,0.7496556406604897,14
whisfusion,,main,whisper,conf,rover_c,10,1,14,2.7179925750419076,1.5436173793277592,3.892367770756056,4.794122077887563,0.9620880346710353,12
whisfusion,,main,whisper,conf,rover_cg,11,1,14,2.765725738277506,1.5994926255475717,3.9319588510074404,4.726134077244722,0.9617649448835588,12
whisfusion,,main,whisper,conf,rover_freq,10,1,14,2.0228839747223994,0.9622168467311409,3.083551102713658,3.8703802969965655,0.9539378284604086,12
whisfusion,,main,whisper,first,conf,14,0,14,7.641914923511421,6.8723510666022865,8.411478780420556,1.8123845106274106,0.8575056106631787,14
whisfusion,,main,whisper,first,rover_cg,14,0,14,10.478009402719387,8.886006642671443,12.07001216276733,8.808135927263718,0.9601314372802668,14
whisfusion,,main,whisper,mbr,rover_cg,8,2,14,1.2426535933964649,0.2573067108065922,2.2280004759863377,3.397001443449362,0.9664731865329557,11
whisfusion,,main,whisper,rover_freq,rover_cg,13,0,14,0.6658891334678742,0.486463255631484,0.8453150113042642,0.0893034741224112,0.8254005568010963,14
whisper-small,,beam,legacy,cm05,rover_cg,0,1,7,-0.058470620721890805,-0.2531611442440659,0.13621990280028426,0.02911923690457238,0.4887082066897371,3
